1,7,13,false,2025-12-23 20:00:18
2,4,13,false,2025-12-23 22:34:47
3,4,15,false,2025-12-23 22:35:45
4,4,14,false,2025-12-23 21:02:31
5,7,3,false,2025-12-23 20:00:11
6,7,8,false,2025-12-23 20:00:29
7,7,15,false,2025-12-23 20:01:23
8,4,16,false,2025-12-23 20:58:13
9,8,13,false,2025-12-23 20:06:25
10,4,4,false,2025-12-23 20:54:50
11,4,2,false,2025-12-23 20:58:13
12,4,12,true,2025-12-23 21:02:14
13,4,5,false,2025-12-23 20:59:58
14,4,3,false,2025-12-23 22:34:39
15,4,8,false,2025-12-23 22:36:41
16,9,2,false,2025-12-23 22:53:58
17,9,14,false,2025-12-23 22:54:04
